200093,47.94,101
85632,49.95,163
415866,43.7,188
263898,41.51,1146
60090,31.7,195
116630,61.03,165
21727,55.41,222
62607,26.24,204
185807,67.41,901
5392,80.2,51
7413,36.44,364
23145,30.4,159
64595,54.08,57
41642,58.99,269
29848,31.55,142
44705,101.78,11
21039,26.05,159
106046,48.52,109
30114,37.05,161
24781,52.83,677
6,32.87,53
934,27.65,68
4659,22.68,47
4154,19.16,398
95,29.95,75
6237,256.78,59
45099,192.67,72
4657,44.49,16
69831,25.33,115
114,12.87,9
3,48.55,22
6801,20.89,23
32435,73.31,1482
14960,74.72,195
4265,15.13,9
2014,15.52,9
1215,23.79,93
18383,28.91,54
2769,76.73,6
68599,82.01,14
171,13.6,61
4416,17.37,100
182949,98.6,293
788,71.51,25
11794,28.43,56
3,30.83,14
2002,151.2,2
15206,26.56,87
2408,90.99,17
3440,209.22,66
7,18.16,27
392,61.48,66
15639,51.67,173
64652,38.7,130
400,75.54,1
616,39.1,67
3,14.54,28
1394,15.26,18
315,29.86,53
27380,77.14,101
233,7.4,11
1885,65.48,5
6,30.1,6
5408,33.32,1
3,18.82,3
17,17.05,13
323,23.13,47
26,127.48,2
46,15.37,8
229,24.2,3
34418,18.9,500
261,11.7,4
1083,15.51,19
1189,48.87,15
2049,26.7,26
1946,27.69,7
1647,53.8,24
6322,22.88,33
140949,26.7,548
8052,35.93,42
6009,13.01,32
6419,52.99,94
7578,76,251
22018,83.33,4
11912,58.89,115
86611,28.94,174
14465,31.89,97
43688,37.51,34
37131,34.43,249
24948,44.59,1423
70635,72,137
17385,26.91,61
98341,34.49,128
27053,13.82,55
13360,16.53,61
42203,30.87,41
112670,108.11,573
29707,49.24,45
28479,99.9,70
10026,20.77,96
15306,109.55,45
16226,18.37,82
12548,190.31,25
13979,185.7,72
17359,55.34,57
32701,53.03,513
214698,73.93,341
22198,31.23,28
68242,85.03,891
27870,57.51,62
63149,36.87,48
49048,41.21,121
41737,87.42,204
45371,40.53,110
68341,83.81,283
128252,143.51,486
61848,160.16,114
111975,40.53,160
91937,129.8,48
614039,45.64,629
526503,50.27,289
243284,38.73,466
